runid,recall,precision,f-score
.361_ROUGE-2,0.03941,0.04258,0.04071
txt.0_ROUGE-2,0.03561,0.06391,0.0451
txt.100_ROUGE-2,0.03539,0.04578,0.03958
txt.101_ROUGE-2,0.03639,0.04587,0.04022
txt.102_ROUGE-2,0.03776,0.04822,0.04182
txt.103_ROUGE-2,0.03647,0.04816,0.04118
txt.104_ROUGE-2,0.04052,0.05205,0.04521
txt.105_ROUGE-2,0.03568,0.04647,0.03997
txt.106_ROUGE-2,0.03753,0.04938,0.04229
txt.107_ROUGE-2,0.03214,0.04365,0.03667
txt.108_ROUGE-2,0.03753,0.05016,0.04245
txt.109_ROUGE-2,0.03686,0.04885,0.04169
txt.10_ROUGE-2,0.02645,0.05058,0.03421
txt.110_ROUGE-2,0.03294,0.04232,0.03681
txt.111_ROUGE-2,0.0343,0.04466,0.03836
txt.112_ROUGE-2,0.03318,0.04312,0.03714
txt.113_ROUGE-2,0.03551,0.04721,0.0402
txt.114_ROUGE-2,0.03591,0.0465,0.04016
txt.115_ROUGE-2,0.03815,0.04811,0.04225
txt.116_ROUGE-2,0.03628,0.04673,0.04048
txt.117_ROUGE-2,0.03891,0.05026,0.04347
txt.118_ROUGE-2,0.03519,0.04686,0.03989
txt.119_ROUGE-2,0.03519,0.04613,0.03958
txt.11_ROUGE-2,0.03004,0.05464,0.03823
txt.120_ROUGE-2,0.03132,0.04069,0.03511
txt.121_ROUGE-2,0.03641,0.04753,0.04103
txt.122_ROUGE-2,0.03512,0.04568,0.03953
txt.123_ROUGE-2,0.03294,0.04429,0.03746
txt.124_ROUGE-2,0.03466,0.04515,0.03892
txt.125_ROUGE-2,0.03863,0.04934,0.043
txt.126_ROUGE-2,0.03466,0.04491,0.03884
txt.127_ROUGE-2,0.03599,0.04683,0.04037
txt.128_ROUGE-2,0.03719,0.04962,0.04213
txt.129_ROUGE-2,0.03717,0.04933,0.0421
txt.12_ROUGE-2,0.02752,0.05197,0.03543
txt.130_ROUGE-2,0.03843,0.04931,0.04289
txt.131_ROUGE-2,0.03775,0.0476,0.04175
txt.132_ROUGE-2,0.04102,0.05316,0.04584
txt.133_ROUGE-2,0.03604,0.0468,0.04033
txt.134_ROUGE-2,0.03601,0.04685,0.04035
txt.135_ROUGE-2,0.03039,0.03915,0.03384
txt.136_ROUGE-2,0.03266,0.04172,0.03635
txt.137_ROUGE-2,0.03317,0.04237,0.03689
txt.138_ROUGE-2,0.03171,0.04224,0.03588
