runid,recall,precision,f-score
txt.0_ROUGE-1,0.19283,0.34841,0.24494
txt.100_ROUGE-1,0.238,0.30766,0.26601
txt.101_ROUGE-1,0.24292,0.3065,0.26888
txt.102_ROUGE-1,0.24015,0.3115,0.26799
txt.103_ROUGE-1,0.23278,0.30676,0.26267
txt.104_ROUGE-1,0.24905,0.3191,0.27741
txt.105_ROUGE-1,0.23691,0.3068,0.26482
txt.106_ROUGE-1,0.23918,0.31503,0.2697
txt.107_ROUGE-1,0.2266,0.30502,0.25736
txt.108_ROUGE-1,0.23421,0.31095,0.2645
txt.109_ROUGE-1,0.23931,0.31137,0.26849
txt.10_ROUGE-1,0.17539,0.33411,0.22613
txt.110_ROUGE-1,0.23476,0.3035,0.26287
txt.111_ROUGE-1,0.23805,0.31131,0.26722
txt.112_ROUGE-1,0.23789,0.3117,0.26739
txt.113_ROUGE-1,0.23784,0.31479,0.26858
txt.114_ROUGE-1,0.23695,0.31171,0.2667
txt.115_ROUGE-1,0.23571,0.30673,0.26436
txt.116_ROUGE-1,0.23608,0.30611,0.26391
txt.117_ROUGE-1,0.23861,0.31098,0.26775
txt.118_ROUGE-1,0.23212,0.3093,0.26307
txt.119_ROUGE-1,0.23345,0.30711,0.26229
txt.11_ROUGE-1,0.18536,0.34696,0.23805
txt.120_ROUGE-1,0.22975,0.30491,0.25978
txt.121_ROUGE-1,0.23466,0.31107,0.26598
txt.122_ROUGE-1,0.23325,0.30613,0.26357
txt.123_ROUGE-1,0.22589,0.30934,0.25865
txt.124_ROUGE-1,0.23019,0.30349,0.25984
txt.125_ROUGE-1,0.24261,0.31364,0.27131
txt.126_ROUGE-1,0.23365,0.30661,0.26283
txt.127_ROUGE-1,0.23974,0.31184,0.26907
txt.128_ROUGE-1,0.23565,0.31623,0.26736
txt.129_ROUGE-1,0.23992,0.316,0.2705
txt.12_ROUGE-1,0.18006,0.33724,0.23147
txt.130_ROUGE-1,0.23978,0.31325,0.26967
txt.131_ROUGE-1,0.24045,0.30749,0.26746
