runid,recall,precision,f-score
txt.203_ROUGE-4,0.00495,0.00546,0.00515
txt.204_ROUGE-4,0.004,0.00464,0
txt.205_ROUGE-4,0.0037,0.00418,0.00392
txt.206_ROUGE-4,0.00411,0.00497,0.00447
txt.207_ROUGE-4,0.00559,0.00624,0.00586
txt.208_ROUGE-4,0.00441,0.00501,0.00469
txt.209_ROUGE-4,0.00582,0.0066,0.00616
txt.20_ROUGE-4,0.00501,0.008,0.00601
txt.210_ROUGE-4,0.00665,0.00709,0.00684
txt.211_ROUGE-4,0.00675,0.00757,0.00712
txt.212_ROUGE-4,0.00834,0.00977,0.0089
txt.213_ROUGE-4,0.00655,0.00733,0.0069
txt.214_ROUGE-4,0.00729,0.00775,0.00749
txt.215_ROUGE-4,0.00625,0.00688,0.00653
txt.216_ROUGE-4,0.0078,0.00854,0.00813
txt.217_ROUGE-4,0.00752,0.00805,0.00775
txt.218_ROUGE-4,0.00718,0.00829,0.00766
txt.219_ROUGE-4,0.00707,0.00748,0.00726
txt.21_ROUGE-4,0.00488,0.00827,0.00595
txt.220_ROUGE-4,0.006,0.00645,0.00621
txt.221_ROUGE-4,0.00602,0.00668,0.00632
txt.222_ROUGE-4,0.00653,0.00723,0.00685
txt.223_ROUGE-4,0.00778,0.00835,0.00805
txt.224_ROUGE-4,0.00611,0.00629,0.0062
txt.225_ROUGE-4,0.00771,0.00898,0.00827
txt.226_ROUGE-4,0.00628,0.00683,0.00653
txt.227_ROUGE-4,0.0079,0.00867,0.00825
txt.228_ROUGE-4,0.00622,0.00701,0.00657
txt.229_ROUGE-4,0.00679,0.00763,0.00716
txt.22_ROUGE-4,0.00708,0.01093,0.00848
txt.230_ROUGE-4,0.00588,0.00636,0.0061
txt.231_ROUGE-4,0.0059,0.00656,0.0062
txt.232_ROUGE-4,0.00678,0.00726,0.00699
txt.233_ROUGE-4,0.00862,0.00939,0.00896
txt.234_ROUGE-4,0.00732,0.00779,0.00754
txt.235_ROUGE-4,0.00581,0.00658,0.00615
txt.236_ROUGE-4,0.00687,0.0076,0.00719
txt.237_ROUGE-4,0.00549,0.00614,0.00578
txt.238_ROUGE-4,0.00588,0.0066,0.00621
txt.239_ROUGE-4,0.00474,0.0056,0.00512
txt.23_ROUGE-4,0.00611,0.0103,0.00746
txt.240_ROUGE-4,0.00509,0.00587,0.00544
txt.241_ROUGE-4,0.00561,0.00613,0.00585
txt.242_ROUGE-4,0.00325,0.00371,0.00346
txt.243_ROUGE-4,0.00471,0.00542,0.00502
txt.244_ROUGE-4,0.00608,0.00668,0.00635
txt.245_ROUGE-4,0.00473,0.00544,0.00505
txt.246_ROUGE-4,0.00473,0.00516,0.00493
txt.247_ROUGE-4,0.00535,0.00597,0.00562
txt.248_ROUGE-4,0.00324,0.00344,0.00333
txt.249_ROUGE-4,0.00596,0.00684,0.00635
txt.24_ROUGE-4,0.00272,0.00499,0.00347
txt.250_ROUGE-4,0.00436,0.00468,0.00451
txt.251_ROUGE-4,0.00586,0.00697,0.00634
txt.252_ROUGE-4,0.00476,0.00552,0.00509
txt.253_ROUGE-4,0.00263,0.00307,0.00283
txt.254_ROUGE-4,0.00561,0.00632,0.00593
txt.256_ROUGE-4,0.00285,0.00323,0.00301
txt.257_ROUGE-4,0.00506,0.00576,0.00538
txt.258_ROUGE-4,0.00566,0.00606,0.00584
txt.259_ROUGE-4,0.00513,0.00575,0.00539
txt.25_ROUGE-4,0.00252,0.00434,0.00313
txt.260_ROUGE-4,0.00431,0.00458,0.00443
txt.261_ROUGE-4,0.00486,0.0055,0.00514
txt.262_ROUGE-4,0.00291,0.00327,0.00307
txt.263_ROUGE-4,0.004,0,0
txt.264_ROUGE-4,0.00387,0.00421,0.00403
txt.265_ROUGE-4,0.00323,0.00396,0.00355
txt.266_ROUGE-4,0.0064,0.00694,0.00663
txt.267_ROUGE-4,0.00518,0.00585,0.00545
txt.268_ROUGE-4,0.00457,0.00501,0.00476
txt.269_ROUGE-4,0.00588,0.00611,0.00598
txt.26_ROUGE-4,0.00266,0.00486,0.00336
txt.270_ROUGE-4,0.00404,0.00426,0.00414
txt.271_ROUGE-4,0.00437,0.00499,0.00463
txt.272_ROUGE-4,0.00311,0.00326,0.00317
txt.273_ROUGE-4,0.00441,0.00472,0.00454
txt.274_ROUGE-4,0.00323,0.00361,0.0034
txt.275_ROUGE-4,0.00478,0.00551,0.00508
txt.276_ROUGE-4,0.00477,0.00533,0.00501
txt.277_ROUGE-4,0.0019,0.00219,0.00203
txt.278_ROUGE-4,0.00298,0.00362,0.00326
txt.279_ROUGE-4,0.00339,0.00393,0.00364
txt.27_ROUGE-4,0.00307,0.0052,0
txt.280_ROUGE-4,0.00238,0.003,0.00265
txt.281_ROUGE-4,0.00271,0.00386,0.00315
txt.282_ROUGE-4,0.00312,0.00404,0.00351
txt.283_ROUGE-4,0.00447,0.00553,0.00491
txt.284_ROUGE-4,0.00296,0.00386,0.00332
txt.285_ROUGE-4,0.00441,0.00546,0.00486
txt.286_ROUGE-4,0.00625,0.00724,0.00667
txt.287_ROUGE-4,0.00417,0.00522,0.00459
txt.288_ROUGE-4,0.00475,0.00533,0.00502
txt.289_ROUGE-4,0.00313,0.00369,0.00339
txt.28_ROUGE-4,0.00544,0.00915,0.00675
txt.290_ROUGE-4,0.00413,0.00475,0.0044
txt.291_ROUGE-4,0.00216,0.00249,0.00229
txt.292_ROUGE-4,0.00403,0.00497,0.00443
txt.293_ROUGE-4,0.00231,0.00274,0.00248
txt.294_ROUGE-4,0.00351,0.00403,0.00374
txt.295_ROUGE-4,0.00216,0.00253,0.00232
txt.296_ROUGE-4,0.00422,0.00526,0.00465
txt.297_ROUGE-4,0.00324,0.00403,0.0036
txt.298_ROUGE-4,0.00052,0.00073,0.00061
txt.299_ROUGE-4,0.00203,0.00258,0.00227
txt.29_ROUGE-4,0.00408,0.00788,0.00521
txt.2_ROUGE-4,0.00486,0.00973,0.00635
txt.300_ROUGE-4,0.00281,0.00366,0.00318
