=====   TOP 5   =====


config.gold.rouge.xml.0  =>  rouge.out.txt.0
ROUGE-4 D0815C-A.txt.279 0.00761


config.gold.rouge.xml.14  =>  rouge.out.txt.14

ROUGE-1 D0816C-A.txt.236 0.42677
ROUGE-1 D0816C-A.txt.229 0.42677
ROUGE-1 D0816C-A.txt.175 0.42424
ROUGE-1 D0816C-A.txt.232 0.41162
ROUGE-1 D0816C-A.txt.170 0.41162

ROUGE-2 D0816C-A.txt.175 0.15051
ROUGE-2 D0816C-A.txt.70 0.14286
ROUGE-2 D0816C-A.txt.74 0.13265
ROUGE-2 D0816C-A.txt.59 0.13265
ROUGE-2 D0816C-A.txt.176 0.13265

ROUGE-3 D0816C-A.txt.175 0.08763
ROUGE-3 D0816C-A.txt.59 0.07990
ROUGE-3 D0816C-A.txt.176 0.07990
ROUGE-3 D0816C-A.txt.77 0.07732
ROUGE-3 D0816C-A.txt.70 0.07732

ROUGE-4 D0816C-A.txt.175 0.05729
ROUGE-4 D0816C-A.txt.59 0.05469
ROUGE-4 D0816C-A.txt.176 0.05469
ROUGE-4 D0816C-A.txt.77 0.04948
ROUGE-4 D0816C-A.txt.188 0.04948


config.gold.rouge.xml.15  =>  rouge.out.txt.15

ROUGE-1 D0817D-A.txt.168 0.38346
ROUGE-1 D0817D-A.txt.192 0.37594
ROUGE-1 D0817D-A.txt.51 0.37093
ROUGE-1 D0817D-A.txt.201 0.37093
ROUGE-1 D0817D-A.txt.180 0.37093

ROUGE-2 D0817D-A.txt.151 0.11899
ROUGE-2 D0817D-A.txt.79 0.11139
ROUGE-2 D0817D-A.txt.106 0.10886
ROUGE-2 D0817D-A.txt.95 0.10127
ROUGE-2 D0817D-A.txt.69 0.10127

ROUGE-3 D0817D-A.txt.106 0.04859
ROUGE-3 D0817D-A.txt.151 0.04604
ROUGE-3 D0817D-A.txt.79 0.04348
ROUGE-3 D0817D-A.txt.204 0.04348
ROUGE-3 D0817D-A.txt.160 0.04348

ROUGE-4 D0817D-A.txt.96 0.02842
ROUGE-4 D0817D-A.txt.91 0.02842
ROUGE-4 D0817D-A.txt.86 0.02842
ROUGE-4 D0817D-A.txt.52 0.02842
ROUGE-4 D0817D-A.txt.210 0.02842


config.gold.rouge.xml.16  =>  rouge.out.txt.16

ROUGE-1 D0818D-A.txt.19 0.41667
ROUGE-1 D0818D-A.txt.97 0.37255
ROUGE-1 D0818D-A.txt.75 0.37255
ROUGE-1 D0818D-A.txt.88 0.36520
ROUGE-1 D0818D-A.txt.98 0.35784

ROUGE-2 D0818D-A.txt.19 0.11139
ROUGE-2 D0818D-A.txt.86 0.07921
ROUGE-2 D0818D-A.txt.84 0.07426
ROUGE-2 D0818D-A.txt.53 0.07426
ROUGE-2 D0818D-A.txt.22 0.07426

ROUGE-3 D0818D-A.txt.19 0.04500
ROUGE-3 D0818D-A.txt.82 0.03250
ROUGE-3 D0818D-A.txt.17 0.03250
ROUGE-3 D0818D-A.txt.86 0.03000
ROUGE-3 D0818D-A.txt.84 0.03000

ROUGE-4 D0818D-A.txt.19 0.01768
ROUGE-4 D0818D-A.txt.82 0.01515
ROUGE-4 D0818D-A.txt.17 0.01515
ROUGE-4 D0818D-A.txt.9 0.01263
ROUGE-4 D0818D-A.txt.86 0.01263


config.gold.rouge.xml.17  =>  rouge.out.txt.17

ROUGE-1 D0819D-A.txt.52 0.30488
ROUGE-1 D0819D-A.txt.55 0.30244
ROUGE-1 D0819D-A.txt.53 0.30244
ROUGE-1 D0819D-A.txt.54 0.30000
ROUGE-1 D0819D-A.txt.45 0.30000

ROUGE-2 D0819D-A.txt.53 0.05419
ROUGE-2 D0819D-A.txt.59 0.04926
ROUGE-2 D0819D-A.txt.65 0.04680
ROUGE-2 D0819D-A.txt.49 0.04680
ROUGE-2 D0819D-A.txt.8 0.04433

ROUGE-3 D0819D-A.txt.58 0.00995
ROUGE-3 D0819D-A.txt.7 0.00746
ROUGE-3 D0819D-A.txt.65 0.00746
ROUGE-3 D0819D-A.txt.63 0.00746
ROUGE-3 D0819D-A.txt.61 0.00746

ROUGE-4 D0819D-A.txt.8 0.00251
ROUGE-4 D0819D-A.txt.7 0.00251
ROUGE-4 D0819D-A.txt.6 0.00251
ROUGE-4 D0819D-A.txt.65 0.00251
ROUGE-4 D0819D-A.txt.64 0.00251


config.gold.rouge.xml.18  =>  rouge.out.txt.18

ROUGE-1 D0820D-A.txt.133 0.39646
ROUGE-1 D0820D-A.txt.128 0.38131
ROUGE-1 D0820D-A.txt.147 0.37626
ROUGE-1 D0820D-A.txt.165 0.36364
ROUGE-1 D0820D-A.txt.150 0.36364

ROUGE-2 D0820D-A.txt.133 0.10459
ROUGE-2 D0820D-A.txt.128 0.09439
ROUGE-2 D0820D-A.txt.90 0.09184
ROUGE-2 D0820D-A.txt.180 0.08673
ROUGE-2 D0820D-A.txt.172 0.08418

ROUGE-3 D0820D-A.txt.180 0.03608
ROUGE-3 D0820D-A.txt.172 0.03608
ROUGE-3 D0820D-A.txt.133 0.03608
ROUGE-3 D0820D-A.txt.130 0.03608
ROUGE-3 D0820D-A.txt.128 0.03608

ROUGE-4 D0820D-A.txt.90 0.01823
ROUGE-4 D0820D-A.txt.64 0.01823
ROUGE-4 D0820D-A.txt.28 0.01823
ROUGE-4 D0820D-A.txt.180 0.01823
ROUGE-4 D0820D-A.txt.179 0.01823


config.gold.rouge.xml.19  =>  rouge.out.txt.19

ROUGE-1 D0821D-A.txt.175 0.40000
ROUGE-1 D0821D-A.txt.165 0.39000
ROUGE-1 D0821D-A.txt.46 0.37250
ROUGE-1 D0821D-A.txt.89 0.36750
ROUGE-1 D0821D-A.txt.63 0.36750

ROUGE-2 D0821D-A.txt.175 0.09343
ROUGE-2 D0821D-A.txt.89 0.09091
ROUGE-2 D0821D-A.txt.165 0.09091
ROUGE-2 D0821D-A.txt.46 0.08586
ROUGE-2 D0821D-A.txt.50 0.08333

ROUGE-3 D0821D-A.txt.89 0.03571
ROUGE-3 D0821D-A.txt.175 0.03571
ROUGE-3 D0821D-A.txt.165 0.03571
ROUGE-3 D0821D-A.txt.46 0.03061
ROUGE-3 D0821D-A.txt.63 0.02806

ROUGE-4 D0821D-A.txt.89 0.01546
ROUGE-4 D0821D-A.txt.175 0.01546
ROUGE-4 D0821D-A.txt.165 0.01546
ROUGE-4 D0821D-A.txt.91 0.01289
ROUGE-4 D0821D-A.txt.90 0.01289


config.gold.rouge.xml.2  =>  rouge.out.txt.2

ROUGE-1 D0803A-A.txt.172 0.38480
ROUGE-1 D0803A-A.txt.371 0.37745
ROUGE-1 D0803A-A.txt.372 0.37255
ROUGE-1 D0803A-A.txt.192 0.36765
ROUGE-1 D0803A-A.txt.440 0.36520

ROUGE-2 D0803A-A.txt.371 0.10644
ROUGE-2 D0803A-A.txt.172 0.10644
ROUGE-2 D0803A-A.txt.380 0.10396
ROUGE-2 D0803A-A.txt.179 0.10396
ROUGE-2 D0803A-A.txt.381 0.10149

ROUGE-3 D0803A-A.txt.47 0.04750
ROUGE-3 D0803A-A.txt.383 0.04750
ROUGE-3 D0803A-A.txt.382 0.04750
ROUGE-3 D0803A-A.txt.381 0.04750
ROUGE-3 D0803A-A.txt.380 0.04750

ROUGE-4 D0803A-A.txt.47 0.02778
ROUGE-4 D0803A-A.txt.383 0.02778
ROUGE-4 D0803A-A.txt.382 0.02778
ROUGE-4 D0803A-A.txt.381 0.02778
ROUGE-4 D0803A-A.txt.380 0.02778


config.gold.rouge.xml.20  =>  rouge.out.txt.20

ROUGE-1 D0823D-A.txt.49 0.34709
ROUGE-1 D0823D-A.txt.87 0.34223
ROUGE-1 D0823D-A.txt.86 0.33981
ROUGE-1 D0823D-A.txt.91 0.32767
ROUGE-1 D0823D-A.txt.90 0.32767

ROUGE-2 D0823D-A.txt.86 0.07353
ROUGE-2 D0823D-A.txt.51 0.06863
ROUGE-2 D0823D-A.txt.49 0.06618
ROUGE-2 D0823D-A.txt.88 0.06373
ROUGE-2 D0823D-A.txt.97 0.06127

ROUGE-3 D0823D-A.txt.97 0.03218
ROUGE-3 D0823D-A.txt.102 0.03218
ROUGE-3 D0823D-A.txt.99 0.02970
ROUGE-3 D0823D-A.txt.53 0.02970
ROUGE-3 D0823D-A.txt.51 0.02970

ROUGE-4 D0823D-A.txt.102 0.02500
ROUGE-4 D0823D-A.txt.97 0.02250
ROUGE-4 D0823D-A.txt.72 0.02250
ROUGE-4 D0823D-A.txt.53 0.02250
ROUGE-4 D0823D-A.txt.28 0.02250


config.gold.rouge.xml.21  =>  rouge.out.txt.21

ROUGE-1 D0824E-A.txt.205 0.26667
ROUGE-1 D0824E-A.txt.236 0.26173
ROUGE-1 D0824E-A.txt.247 0.25926
ROUGE-1 D0824E-A.txt.242 0.25926
ROUGE-1 D0824E-A.txt.176 0.25679

ROUGE-2 D0824E-A.txt.168 0.05736
ROUGE-2 D0824E-A.txt.91 0.04738
ROUGE-2 D0824E-A.txt.313 0.04738
ROUGE-2 D0824E-A.txt.312 0.04738
ROUGE-2 D0824E-A.txt.226 0.04738

ROUGE-3 D0824E-A.txt.9 0.00000
ROUGE-3 D0824E-A.txt.99 0.00000
ROUGE-3 D0824E-A.txt.98 0.00000
ROUGE-3 D0824E-A.txt.97 0.00000
ROUGE-3 D0824E-A.txt.96 0.00000

ROUGE-4 D0824E-A.txt.9 0.00000
ROUGE-4 D0824E-A.txt.99 0.00000
ROUGE-4 D0824E-A.txt.98 0.00000
ROUGE-4 D0824E-A.txt.97 0.00000
ROUGE-4 D0824E-A.txt.96 0.00000


config.gold.rouge.xml.22  =>  rouge.out.txt.22

ROUGE-1 D0825E-A.txt.293 0.29843
ROUGE-1 D0825E-A.txt.269 0.29581
ROUGE-1 D0825E-A.txt.336 0.28796
ROUGE-1 D0825E-A.txt.294 0.28796
ROUGE-1 D0825E-A.txt.379 0.28534

ROUGE-2 D0825E-A.txt.294 0.06085
ROUGE-2 D0825E-A.txt.292 0.05820
ROUGE-2 D0825E-A.txt.372 0.05556
ROUGE-2 D0825E-A.txt.324 0.05556
ROUGE-2 D0825E-A.txt.118 0.05556

ROUGE-3 D0825E-A.txt.292 0.01337
ROUGE-3 D0825E-A.txt.199 0.01337
ROUGE-3 D0825E-A.txt.198 0.01337
ROUGE-3 D0825E-A.txt.117 0.01337
ROUGE-3 D0825E-A.txt.116 0.01337

ROUGE-4 D0825E-A.txt.96 0.00811
ROUGE-4 D0825E-A.txt.68 0.00811
ROUGE-4 D0825E-A.txt.32 0.00811
ROUGE-4 D0825E-A.txt.311 0.00811
ROUGE-4 D0825E-A.txt.234 0.00811


config.gold.rouge.xml.23  =>  rouge.out.txt.23

ROUGE-1 D0826E-A.txt.132 0.39896
ROUGE-1 D0826E-A.txt.134 0.39119
ROUGE-1 D0826E-A.txt.113 0.38083
ROUGE-1 D0826E-A.txt.96 0.37565
ROUGE-1 D0826E-A.txt.124 0.37306

ROUGE-2 D0826E-A.txt.132 0.12827
ROUGE-2 D0826E-A.txt.96 0.10733
ROUGE-2 D0826E-A.txt.71 0.10733
ROUGE-2 D0826E-A.txt.134 0.10733
